,ID,LAND_NR,Partei_NR,Partei_ABK,Name,Titel,Vorname,Nachname,Jahrgang,Geschlecht,Kandidatur,LP,WKR_NR,BereitsMdB,MdB_2021,Einzug,Prozent,erneut,TW_acc,TW_user,TW_id,TW_verif,FB_acc,FB_user,FB_id,FB_typ,FB_verif
5563,5564,9,7,CSU,"Ullrich, Dr. Volker Michael",Dr.,Volker Michael,Ullrich,1975,2,3,19.0,252.0,1,1,1,"28,1",1,1,VolkerUllrich,28446356,1,1,ullrich.volker,249601011844044,1,1
5565,5566,16,4,FDP,"Ullrich, Gerald",,Gerald,Ullrich,1962,2,3,1.0,196.0,1,1,2,'null',1,1,G_UllrichFDP,935456332655874048,1,1,FDPGeraldUllrich,1981109735453576,1,1
5601,5602,3,6,GRÜNE,"Verlinden, Dr. Julia Maria Kornelia",Dr.,Julia Maria Kornelia,Verlinden,1979,1,3,5.0,37.0,1,1,2,'null',1,1,julia_verlinden,1475734592,1,1,jul.verlinden,528410977196029,1,1
5615,5616,5,4,FDP,"Vogel, Johannes",,Johannes,Vogel,1982,2,3,5.0,149.0,1,1,2,'null',1,1,johannesvogel,15630931,1,1,johannesvogel,100045008018008,1,1
5620,5621,5,5,DIE LINKE,"Vogler, Kathrin",,Kathrin,Vogler,1963,1,3,5.0,128.0,1,1,2,'null',1,1,voglerk,21287514,1,1,kathrin.vogler,563753786980536,1,1
5636,5637,3,2,SPD,"Völlers, Marja-Liisa",,Marja-Liisa,Völlers,1984,1,3,16.0,40.0,1,1,1,"35,3",1,1,MarjaVoellers,1009457791554281473,1,1,voellers,1795700464080827,1,1
5669,5670,13,2,SPD,"von Malottki, Erik",,Erik,von Malottki,1986,2,3,3.0,16.0,0,1,1,"24,8",0,1,EVMGreifswald,63240190,2,1,ErikvonmalottkiGreifswald,1470987849804375,1,1
5671,5672,1,6,GRÜNE,"von Notz, Dr. Konstantin",Dr.,Konstantin,von Notz,1971,2,3,4.0,10.0,1,1,2,'null',1,1,KonstantinNotz,17752770,1,1,KonstantinNotz,1057395874293125,1,1
5678,5679,11,3,AfD,"von Storch, Beatrix",,Beatrix,von Storch,1971,1,3,1.0,75.0,1,1,2,'null',1,1,Beatrix_vStorch,805308596,1,1,BeatrixVonStorch,100044385937879,1,1
5682,5683,5,2,SPD,"Vöpel, Dirk",,Dirk,Vöpel,1971,2,3,63.0,117.0,1,1,1,"38,8",1,1,VoepelDirk,829029719941246978,2,1,voepel,108117007999531,1,1
5696,5697,1,1,CDU,"Wadephul, Dr. Johann David",Dr.,Johann David,Wadephul,1963,2,3,1.0,4.0,1,1,2,'null',1,1,JoWadephul,389682667,1,1,johann.wadephul,1619528691651829,1,1
5698,5699,9,6,GRÜNE,"Wagener, Niklas",,Niklas,Wagener,1998,2,3,14.0,247.0,0,1,2,'null',0,1,WagenerNiklas,1166603377,1,1,niklaswagener.aschaffenburg,103255548236109,1,1
5699,5700,5,6,GRÜNE,"Wagener, Robin Till Nils Johannes",,Robin Till Nils Johannes,Wagener,1980,2,3,10.0,135.0,0,1,2,'null',0,1,robinwagener,392302434,1,1,WagenerRobin,350214655171362,1,1
5700,5701,5,5,DIE LINKE,"Wagenknecht, Dr. Sahra",Dr.,Sahra,Wagenknecht,1969,1,1,1.0,,1,1,2,'null',1,1,SWagenknecht,47375691,1,1,sahra.wagenknecht,206307219386683,1,1
5711,5712,9,6,GRÜNE,"Wagner, Johannes",,Johannes,Wagner,1991,2,3,16.0,238.0,0,1,2,'null',0,1,yooHannes,837741064052215815,1,1,hannes.wagner.coburg,102419735008984,1,1
5736,5737,12,2,SPD,"Wallstein, Maja Scarlett",,Maja Scarlett,Wallstein,1986,1,3,2.0,64.0,0,1,1,"27,6",0,1,Krawallstein,2423392771,1,1,Krawallstein,258679164938305,1,1
5748,5749,9,6,GRÜNE,"Walter-Rosenheimer, Beate",,Beate,Walter-Rosenheimer,1964,1,3,19.0,215.0,1,1,2,'null',1,1,BeateWaRo,47049428,1,1,beate.walterrosenheimer,1817642339,3,2
5753,5754,14,1,CDU,"Wanderwitz, Marco",,Marco,Wanderwitz,1975,2,3,1.0,163.0,1,1,2,'null',1,1,wanderwitz,16361044,1,0,'null','null',0,0
5762,5763,8,1,CDU,"Warken, Nina Ingrid",,Nina Ingrid,Warken,1979,1,2,,276.0,1,1,1,"35,8",1,1,ninawarken,65413134,1,1,warkennina,1429805687231910,1,1
5797,5798,7,4,FDP,"Weeser, Sandra",,Sandra,Weeser,1969,1,3,4.0,197.0,1,1,2,'null',1,1,sandra_weeser,858362895075340288,1,1,S.WeeserFDP,724954954342174,1,1
5800,5801,9,2,SPD,"Wegge, Carmen",,Carmen,Wegge,1989,1,3,20.0,224.0,0,1,2,'null',0,1,CarmenWegge,1086174715239116800,1,1,carmenweggepolitik,116666403455275,1,1
