ID,LAND_NR,Partei_NR,Partei_ABK,Name,TW_acc,TW_user,TW_id,TW_verif,gescraped?
5240,3,1,CDU,"Stegemann, Albert",1,StegemannAlbert,1.12796124849313E+018,2,ja
5245,1,2,SPD,"Stegner, Dr. Ralf",1,Ralf_Stegner,16808099,1,ja
5255,1,2,SPD,"Stein, Jens Mathias",1,stonie_kiel,46498076,1,ja
5268,7,1,CDU,"Steiniger, Johannes Eberhard",1,JoSteiniger,83474160,1,ja
5272,11,6,GRÜNE,"Steinmüller, Hanna",1,HanSteinmueller,1.091742295572E+018,1,ja
5290,14,2,SPD,"Sthamer, Nadja",1,nadjasthamer,1.32532033601603E+018,2,ja
5291,15,1,CDU,"Stier, Dieter",1,dieter_stier,1156156982,2,ja
5312,1,1,CDU,"Storjohann, Gero",1,gero_storjohann,20534846,1,ja
5319,5,4,FDP,"Strack-Zimmermann, Dr. Marie-Agnes",1,MAStrackZi,3047392319,1,ja
5322,8,4,FDP,"Strasser, Benjamin",1,bstrasser,29540300,1,ja
5335,6,6,GRÜNE,"Strengmann-Kuhn, Dr. Wolfgang",1,W_SK,20840049,1,ja
5357,11,2,SPD,"Stüwe, Ruppert Fritz Johannes",1,stuewer,94592987,2,ja
5393,8,5,DIE LINKE,"Tatti, Jessica Nadine",1,jessica_tatti,1.02029708797044E+018,2,ja
5415,6,6,GRÜNE,"Tesfaiesus, Awet",1,AwetTesfaiesus,1.03557777185305E+018,1,ja
5417,12,4,FDP,"Teuteberg, Linda",1,LindaTeuteberg,170964436,1,ja
5418,5,4,FDP,"Teutrine, Jens",1,jensteutrine,8.01549587144176E+017,1,ja
5427,8,4,FDP,"Theurer, Michael Alexander",1,EUTheurer,1108382916,1,ja
5429,5,2,SPD,"Thews, Michael Eckardt",1,michael_thews,409258073,1,ja
5446,9,4,FDP,"Thomae, Stephan",1,StephanThomae,75005687,1,ja
5455,8,1,CDU,"Throm, Alexander Richard",1,alexander_throm,8.29056811974144E+017,1,ja
5474,16,1,CDU,"Tillmann, Antje",1,AntjeTillmann,1.08292576331637E+018,1,ja
5480,14,4,FDP,"Tippelt, Nico",1,tippelt21,53369932,2,ja
5486,5,4,FDP,"Todtenhausen, Manfred",1,MTodtenhausen,563706584,1,ja
5490,8,4,FDP,"Toncar, Dr. Florian",1,florian_toncar,17462171,1,ja
5492,5,2,SPD,"Töns, Markus",1,Toens_NRW04,3522875063,1,ja
5504,9,2,SPD,"Träger, Carsten Dietmar",1,CarstenTraeger,3577737256,1,ja
5527,3,6,GRÜNE,"Trittin, Jürgen",1,JTrittin,485751594,1,ja
5546,8,2,SPD,"Türk-Nachbaur, Derya",1,derya_tn,1.16268937451089E+018,1,ja
5557,10,1,CDU,"Uhl, Markus Alexander",1,uhl_markus,1391875208,2,ja
5558,5,6,GRÜNE,"Uhlig, Katrin Babette",1,katrinuhligbn,1.34646273466219E+018,2,ja
5562,9,4,FDP,"Ullmann, Prof. Dr.Andrew John",1,UllmannMdB,609972369,1,ja
5564,9,7,CSU,"Ullrich, Dr. Volker Michael",1,VolkerUllrich,28446356,1,ja
5566,16,4,FDP,"Ullrich, Gerald",1,G_UllrichFDP,9.35456332655874E+017,1,ja
5602,3,6,GRÜNE,"Verlinden, Dr. Julia Maria Kornelia",1,julia_verlinden,1475734592,1,ja
5616,5,4,FDP,"Vogel, Johannes",1,johannesvogel,15630931,1,ja
5621,5,5,DIE LINKE,"Vogler, Kathrin",1,voglerk,21287514,1,ja
5637,3,2,SPD,"Völlers, Marja-Liisa",1,MarjaVoellers,1.00945779155428E+018,1,ja
5670,13,2,SPD,"von Malottki, Erik",1,EVMGreifswald,63240190,2,ja
5672,1,6,GRÜNE,"von Notz, Dr. Konstantin",1,KonstantinNotz,17752770,1,ja
5679,11,3,AfD,"von Storch, Beatrix",1,Beatrix_vStorch,805308596,1,ja
5683,5,2,SPD,"Vöpel, Dirk",1,VoepelDirk,8.29029719941247E+017,2,ja
5697,1,1,CDU,"Wadephul, Dr. Johann David",1,JoWadephul,389682667,1,ja
5699,9,6,GRÜNE,"Wagener, Niklas",1,WagenerNiklas,1166603377,1,ja
5700,5,6,GRÜNE,"Wagener, Robin Till Nils Johannes",1,robinwagener,392302434,1,ja
5701,5,5,DIE LINKE,"Wagenknecht, Dr. Sahra",1,SWagenknecht,47375691,1,ja
5712,9,6,GRÜNE,"Wagner, Johannes",1,yooHannes,8.37741064052216E+017,1,ja
5737,12,2,SPD,"Wallstein, Maja Scarlett",1,Krawallstein,2423392771,1,ja
5749,9,6,GRÜNE,"Walter-Rosenheimer, Beate",1,BeateWaRo,47049428,1,ja
5754,14,1,CDU,"Wanderwitz, Marco",1,wanderwitz,16361044,1,ja
5763,8,1,CDU,"Warken, Nina Ingrid",1,ninawarken,65413134,1,ja
5798,7,4,FDP,"Weeser, Sandra",1,sandra_weeser,8.5836289507534E+017,1,ja
5801,9,2,SPD,"Wegge, Carmen",1,CarmenWegge,1.08617471523912E+018,1,ja
5811,8,3,AfD,"Weidel, Alice Elisabeth",1,Alice_Weidel,8.33398209053606E+017,1,ja
5839,7,2,SPD,"Weingarten, Dr. Joe",1,DrJoeWeingarten,8.1196024335378E+017,2,ja
5852,9,7,CSU,"Weisgerber, Dr. Anja",1,anjaweisgerber,133770069,1,ja
5853,9,6,GRÜNE,"Weishaupt, Saskia Lea Raquel",1,SaskiaLeaRaquel,574285449,1,ja
5858,8,1,CDU,"Weiss, Maria-Lena",1,MariaLenaWeiss,2654324832,2,ja
5892,3,6,GRÜNE,"Wenzel, Peer Stefan",1,StefWenzel,61729247,1,ja
5902,7,2,SPD,"Werner, Lena",1,thereallenzii,38250199,2,ja
5920,5,4,FDP,"Westig, Nicole",1,NicoleWestig,9.89145249682526E+017,2,ja
5922,3,2,SPD,"Westphal, Bernd Helmut",1,BerndWestphal4,1.07166542314025E+018,2,ja
5931,5,3,AfD,"Weyel, Dr. Harald",1,h_weyel,8.41412635270763E+017,2,ja
5935,8,1,CDU,"Whittaker, Kai Thorsten",1,Kai_Whittaker,2479436480,1,ja
5940,8,1,CDU,"Widmann-Mauz, Annette",1,AWidmannMauz,3351905747,1,ja
5951,9,3,AfD,"Wiehle, Wolfgang",1,WolfgangWiehle,1.00365629958913E+018,2,ja
5955,5,1,CDU,"Wiener, Dr. Klaus",1,KlausWiener,8.62247639584317E+017,2,ja
5957,5,2,SPD,"Wiese, Dirk",1,DirkWieseSPD,8.15469233090023E+017,2,ja
5995,5,1,CDU,"Winkelmeier-Becker, Elisabeth",1,ElisabethWinke4,1.38607572978016E+018,2,ja
6000,9,7,CSU,"Winkler, Tobias",1,TW_EP,2811445750,2,ja
6001,9,6,GRÜNE,"Winklmann, Tina",1,TinaWinklmann,1.40988974066554E+018,1,ja
6012,10,3,AfD,"Wirth, Dr. Christian Friedrich",1,ChrWirthMdB,9.2019396793702E+017,2,ja
6019,7,4,FDP,"Wissing, Dr. Volker",1,Wissing,20593301,1,ja
6020,6,5,DIE LINKE,"Wißler, Janine Natalie",1,Janine_Wissler,143484553,1,ja
6026,1,3,AfD,"Witt, Uwe",1,Witt_Uwe,4503658823,2,ja
6097,3,1,CDU,"Wulf, Mareike Lotte",1,MareikeWulf,1.03779110651841E+018,2,ja
6104,3,3,AfD,"Wundrak, Franz Josef Joachim",1,JoachimWundrak,1.38998017803881E+018,2,ja
6160,15,3,AfD,"Ziegler, Kay-Uwe",1,KayUweZiegler71,8.46770487480996E+017,2,ja
6166,5,1,CDU,"Ziemiak, Paul",1,PaulZiemiak,288696645,1,ja
6168,12,2,SPD,"Zierke, Stefan",1,zierke,64220313,1,ja
6175,6,2,SPD,"Zimmermann, Dr. Jens",1,JensZSPD,449619355,1,ja
6189,8,1,CDU,"Zippelius, Nicolas Benjamin",1,NZippelius,1560104953,2,ja
6198,6,2,SPD,"Zorn, Armand",1,ArmandZorn,1.31318737637891E+018,1,ja
